회사명,공장대표주소,업종명,생산품
대림보이라,서울특별시 성동구 성수1가제2동 656-291번지,산업용 난방보일러 및 방열기 제조업,목욕탕보일러
대명정밀,서울특별시 성동구 성수일로 12 (성수동1가),금속 절삭기계 제조업,금형제품
대명화학,서울특별시 성동구 연무장13길 3 (성수동2가),그 외 기타 플라스틱 제품 제조업,사출
대성식품,"서울특별시 성동구 아차산로13길 6 (성수동2가, 대성식품)",두부 및 유사식품 제조업,두부
대양인쇄,"서울특별시 성동구 성수이로10길 21 (성수동2가, 대양빌딩)",기타 인쇄업 외 1 종,은행서식
대영기업사,"서울특별시 성동구 아차산로 138 (성수동2가, 대영기업사)",섬유제품 기타 정리 및 마무리 가공업 외 1 종,원단임가공
대영스크린,서울특별시 성동구 성수이로26길 27 (성수동2가),경 인쇄업,상업용 인쇄물(스티커외)
대영제과제빵기계공업(주),서울특별시 성동구 성수1가제2동 656-1058번지,음ㆍ식료품 및 담배 가공기계 제조업 외 2 종,"제빵기계 및 주방기구,발효기,믹서기"
대영코팅기,"서울특별시 성동구 마장로 301, 202 (마장동)",사무용 기계 및 장비 제조업 외 1 종,전자제품 조립
대왕보일러ENG,"서울특별시 성동구 광나루로 223 (송정동, 우성공업사)",산업용 난방보일러 및 방열기 제조업,보일러
대웅프라스틱공업사,서울특별시 성동구 연무장5가길 11 (성수동2가),포장용 플라스틱 성형용기 제조업,"프라스틱,전자부품"
대원,"서울특별시 성동구 동일로 151, 23,24호 (성수동2가)",그 외 기타 플라스틱 제품 제조업,플라스틱제품
대원계기산업사,"서울특별시 성동구 성수일로 77, B210~B212호 (성수동1가, 서울숲 IT 밸리) B210~B212호","물질 검사, 측정 및 분석기구 제조업",산업용온도계
대원상사,"서울특별시 성동구 아차산로11길 27, 102호 (성수동2가)",기타 인쇄업 외 1 종,은행사무용지(은행점표)
대원흥산(주),"서울특별시 성동구 성수이로 144 (성수동2가, EM타워)",기타 목재가구 제조업,"가구,쇼파"
대일산업,"서울특별시 성동구 뚝섬로 385-40, 지층 (성수동2가)",육상 금속 골조 구조재 제조업 외 4 종,조립금속제품
대종의료기 주식회사,"서울특별시 성동구 연무장17길 14, 4층 403호 (성수동2가, 대군인더스 타운)",화장품 제조업,화장품
대지요꼬,"서울특별시 성동구 연무장5길 9-13 (성수동2가, 대지섬유)",그 외 기타 분류 안된 섬유제품 제조업,편조
대진아트,"서울특별시 성동구 사근동길 52, 1층 (사근동)",커튼 및 유사제품 제조업,"커튼, 브라인드"
대풍건설,"서울특별시 성동구 아차산로7길 44, 대풍빌딩 (성수동2가)","탭, 밸브 및 유사장치 제조업",제수밸브
대한진공(주),"서울특별시 성동구 성수이로 117 (성수동2가, 아이템플미디어(주))",절연 코드세트 및 기타 도체 제조업,"전구재료,완구"
대흥정밀공업사,"서울특별시 성동구 마장로44길 5 (마장동, 푸른마을3차)","전기회로 개폐, 보호장치 제조업 외 1 종",커넥터 부품
덕산식품기계,"서울특별시 성동구 상원4길 13, 1층 (성수동1가)",수동식 식품 가공기기 및 금속 주방용기 제조업 외 1 종,쌀분쇄기
덕일기전,"서울특별시 성동구 아차산로11길 27, 108호 (성수동2가)",기체 펌프 및 압축기 제조업,"Mechan Seal,펌프부속"
델리까또핸드백,서울특별시 성동구 금호산12길 8 (금호동3가),핸드백 및 지갑 제조업,"핸드백,벨트,지갑"
도유기계공업사,"서울특별시 성동구 왕십리로 38 (성수동1가, 홍성빌딩)","산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",여과기
동강폼(주),"서울특별시 성동구 성수이로 144-29, 101호 (성수동2가)",기타 인쇄업 외 1 종,"소책자,달력,카다로그,전단지"
동광공업사,서울특별시 성동구 뚝섬로13길 34 (성수동2가) 1층,기타 기계.장비 조립용 플라스틱 제품 제조업,프라스틱제품
동광금속,"서울특별시 성동구 성수이로18길 45, 1층 (성수동2가)",금속 위생용품 제조업 외 2 종,업무용대형 연소기
동광기전공업(주),"서울특별시 성동구 성수이로18길 45 (성수동2가, 성일지기접착)",액체 펌프 제조업 외 5 종,"모터펌프,상하수처리기계"
동명인쇄(주),"서울특별시 성동구 연무장19길 5 (성수동2가, 제일전자공장)",기타 인쇄업 외 1 종,"출판물,상업인쇄"
동방인쇄공사,"서울특별시 성동구 성수이로20길 54 (성수동2가, 동방인쇄공사)",기타 인쇄업 외 1 종,책자
동보 d&p,"서울특별시 성동구 아차산로13길 15, 다동 (성수동2가, 정우섬유)",기타 인쇄업 외 1 종,인쇄물
동아기업,"서울특별시 성동구 성수일로10길 26, 3층 307 (성수동2가) 3층 307호",자수제품 및 자수용재료 제조업 외 5 종,패션 잡화
동아시험기,"서울특별시 성동구 뚝섬로1길 25, 3층 308 (성수동1가)","물질 검사, 측정 및 분석기구 제조업",물질거사 및 시험기기
동아시험기,서울특별시 성동구 성수일로1길 17-6 (성수동1가),"물질 검사, 측정 및 분석기구 제조업","토목,건축,재료시험기"
동영산업,서울특별시 성동구 성수일로1길 14 (성수동1가),커튼 및 유사제품 제조업 외 8 종,"깃발,기부속,군장,휘장"
동일상사,"서울특별시 성동구 아차산로 103, 809호 (성수동2가)","전자기 측정, 시험 및 분석기구 제조업 외 1 종","탭,밸브"
동진기계산업(주),"서울특별시 성동구 아차산로17길 7 (성수동2가, 동진기계산업주)",음ㆍ식료품 및 담배 가공기계 제조업 외 9 종,식품가공기계
동진프린트,서울특별시 성동구 성수일로12길 11 (성수동2가) 외 1필지,경 인쇄업 외 6 종,인쇄물
두원금속,서울특별시 성동구 성수일로12가길 17 (성수동2가),볼트 및 너트류 제조업,"볼트,너트"
드림인쇄(주),"서울특별시 성동구 아차산로15길 27 (성수동2가, 드림인쇄(주))",기타 인쇄업 외 1 종,인쇄
디티피아,"서울특별시 성동구 왕십리로6길 38-1, 1,2,3층 (성수동1가)",기타 인쇄업 외 1 종,명함 등
라이크시스 주식회사,서울특별시 성동구 아차산로 144 (성수동2가) 우영테크노센터 701호,사무용 기계 및 장비 제조업 외 2 종,금융사무기기
라이크시스 주식회사,"서울특별시 성동구 성수이로18길 31, 402호 (성수동2가, 풍림테크원) 402호",사무용 기계 및 장비 제조업,금융사무기기
라플로채니슈즈디자인연구소,"서울특별시 성동구 연무장9길 4, 상민빌딩 4층 (성수동2가, 성일산업)",구두류 제조업,숙녀화
런던베이글뮤지엄 성수,"서울특별시 성동구 아차산로1길 19, 2층~4층(성수동1가, 성수동 도시형공장)",빵류 제조업 외 1 종,"베이글생지, 베이글반죽, 베이글"
레놈,"서울특별시 성동구 성수일로10길 26, B205호 B206호(성수동2가, 하우스디 세종타워) B205호 B206호",그 외 기타 플라스틱 제품 제조업,아크릴가공품
로로텍,"서울특별시 성동구 둘레7길 13, 지층 (성수동1가)",기타 운동 및 경기용구 제조업,골프공 자동공급기
로얄인쇄공업사,"서울특별시 성동구 성수이로 144-29, 203호 (성수동2가)",기타 인쇄업 외 1 종,스티커인쇄
루나어패럴,"서울특별시 성동구 성수이로7길 7, 3층 305호,306호 (성수동2가, 서울숲 한라시그마밸리Ⅱ)",그 외 기타 분류 안된 섬유제품 제조업,니트 의류
리드마크(주),"서울특별시 성동구 광나루로 204, 6층 (성수동2가)",여자용 겉옷 제조업 외 1 종,여성의류
리베로시스템(주),서울특별시 성동구 성수이로16길 46 (성수동2가),플라스틱 합성피혁 제조업 외 21 종,"가죽비닐용가방,합성피혁카바"
리알토콜렉션,서울특별시 성동구 연무장13길 3 (성수동2가),구두류 제조업,구두
마이디어,"서울특별시 성동구 성수이로 126 (성수동2가, 부영상사)","물질 검사, 측정 및 분석기구 제조업 외 3 종","실험기기, 정밀기기"
메디랜드,"서울특별시 성동구 마장로 222 (홍익동, 홍익빌딩)",그 외 기타 의료용 기기 제조업,의료기기
메이비원(주),서울특별시 성동구 아차산로11가길 6 (성수동2가),경 인쇄업 외 3 종,"사진인화, 포토북, 앨범, 액자등"
명성BOX,서울특별시 성동구 아차산로5길 22 (성수동2가),경 인쇄업 외 1 종,종이상자인쇄
문성원색,"서울특별시 성동구 아차산로5길 18, 289-286 (성수동2가)",경 인쇄업 외 2 종,상업용 인쇄물
미도사,"서울특별시 성동구 아차산로11길 28, 1층 (성수동2가)",솜 및 실 염색가공업,섬유 임가공
미성전자,"서울특별시 성동구 연무장5가길 25, B216, B217,B218호 (성수동2가)",기타 음향기기 제조업,스피커
반도스탠드,"서울특별시 성동구 아차산로 74 (성수동2가, 대일산업사)",그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종,악기스탠드 제조
반석정밀공업(주),"서울특별시 성동구 왕십리로 58, 서울숲포휴 지층 101호-104호 (성수동1가)",기기용 자동측정 및 제어장치 제조업 외 2 종,액체정량토출기 및 주변기기
백산금속,서울특별시 성동구 성수일로3길 6-1 (성수동1가),수동식 식품 가공기기 및 금속 주방용기 제조업,주방기구
백산기업,"서울특별시 성동구 성수이로16길 29 (성수동2가, 백산기업)",그 외 기타 분류 안된 섬유제품 제조업,"섬유,직물"
번영특수인쇄,"서울특별시 성동구 연무장17길 3, 4층 401호(성수동2가, (주)삼우아파트형공장) 4층 401호",그 외 기타 종이 및 판지 제품 제조업,라벨스티커
보현테크노,"서울특별시 성동구 성수동2가 273번지 48,49호",배전반 및 전기 자동제어반 제조업,배전반
복고상사,서울특별시 성동구 성수일로4가길 10-45 (성수동2가),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,"넥타이핀셋트, 벨트셋트"
부미(Bumi),"서울특별시 성동구 성수일로 99, 607, 608호(성수동1가, 서울숲AK밸리 지식산업센터) 607, 608호",편조의복 제조업,운동복 등 편의복
부산금형,서울특별시 성동구 광나루로 216-8 (성수동2가),주형 및 금형 제조업,신발금형
부성공업,"서울특별시 성동구 성수이로18길 45 (성수동2가, 성일지기접착)",기타 운동 및 경기용구 제조업 외 3 종,금속운동용품
비앤에스,"서울특별시 성동구 성수이로16길 10, 지하1층, 지상1층 (성수동2가, 삼양비지네스)",기타 인쇄업 외 1 종,"라벨, 스티커"
비지니스대양전산폼(주),"서울특별시 성동구 성수이로24길 38, 201호 (성수동2가)",제판 및 조판업,"조판,원판제작"
사회적협동조합 우리나래,"서울특별시 성동구 성수일로 10, B203호(성수동1가, 서울숲 ITCT 지식산업센터) B203호",경 인쇄업,"명함, 전단지, 카달로그, 책자"
사회적협동조합공감과연대 분사무소 멋진월요일,"서울특별시 성동구 성덕정길 116, 2층, 4층 (성수동2가)",코르크 및 조물제품 제조업 외 2 종,"쇼핑백, 판촉물, 토너"
삼구당,"서울특별시 성동구 아차산로7길 36, 지층3호 (성수동2가)",연사 및 가공사 제조업,재봉사
삼덕정판사,"서울특별시 성동구 연무장5길 9-13 (성수동2가, 대지섬유)",기타 인쇄업 외 1 종,"발행본, 제본, 달력"
삼미디어텍,"서울특별시 성동구 성수이로22길 37, 한신아크밸리 1206,1207호 (성수동2가)",유선 통신장비 제조업,유선통신장비
삼보기업사,서울특별시 성동구 왕십리로6길 23 (성수동1가),금속탱크 및 저장용기 제조업 외 1 종,금속탱크
삼부문화(주),"서울특별시 성동구 성수이로 144-29, 201호 (성수동2가)",기타 인쇄업 외 1 종,옵셋인쇄업
삼성문화인쇄(주),서울특별시 성동구 아차산로11길 30 (성수동2가),기타 인쇄업,"책, 달력"
삼성전기,"서울특별시 성동구 성수일로 55, 907호 (성수동1가)",구조용 금속 판제품 및 공작물 제조업 외 8 종,항공장애등
삼양테크놀로지(주),"서울특별시 성동구 아차산로5길 19-1 (성수동2가, A동)",그 외 기타 의료용 기기 제조업,의료기기
삼양하드웨어,"서울특별시 성동구 아차산로5길 24-23 (성수동2가, 삼양하드웨어)",목재문 및 관련제품 제조업,강화문 유리손잡이
삼우섬유,서울특별시 성동구 성수동2가 257-2번지,섬유제품 기타 정리 및 마무리 가공업 외 1 종,염색가공
삼원금속,서울특별시 성동구 성수이로16길 31 (성수동2가),자동차용 금속 압형제품 제조업 외 2 종,신변장신구
삼원금속공업사,"서울특별시 성동구 뚝섬로 389 (성수동2가, 성수동빌딩)",금속 위생용품 제조업,"너트,볼트"
삼원정공(주),"서울특별시 성동구 성수이로7길 20 (성수동2가, 가동)",금속 스프링 제조업,스프링
삼원판금,"서울특별시 성동구 아차산로15길 26, 35호 (성수동2가)","금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",공조기 등
삼진섬유,"서울특별시 성동구 마조로 72 (마장동, 우성장모텔)",셔츠 및 블라우스 제조업 외 1 종,티셔츠
삼진스크린,서울특별시 성동구 연무장13길 3 (성수동2가),스크린 인쇄업,스크린인쇄
삼진조명,"서울특별시 성동구 아차산로 156 (성수동2가, 삼진조명)",일반용 전기 조명장치 제조업,조명기구
삼창기공사,서울특별시 성동구 광나루로 216-1 (성수동2가),사무용 기계 및 장비 제조업,"사무기기부품,기어가공"
삼화에스앤디(주),"서울특별시 성동구 성수이로10길 14, B102, B103호(성수동2가, 에이스 하이엔드 성수타워)",전시 및 광고용 조명장치 제조업 외 1 종,"사인스탠드, LED라이트패널"
삼환기공,서울특별시 성동구 아차산로 127 (성수동2가),그 외 기타 플라스틱 제품 제조업 외 3 종,"산기장치, 노즐"
새한기록지 인쇄공업사,"서울특별시 성동구 동호로 88 (금호동4가, 새한빌딩)",문구용 종이제품 제조업,계기용기록지
서상정밀,"서울특별시 성동구 성수일로11길 18 (성수동1가, 서상정밀)",전기경보 및 신호장치 제조업,경보기케이스
서울디지털인쇄협동조합,서울특별시 성동구 성수일로10길 26 (성수동2가) 하우스디 세종타워 지하1층 109~111호,경 인쇄업,교육용 및 직업교육교재도서
서울상사@,서울특별시 성동구 연무장9길 10 (성수동2가),종이 포대 및 가방 제조업 외 2 종,"종이가방, 포대"
서울탁주 성동 연합제조장,"서울특별시 성동구 성수이로20길 42 (성수동2가, 서울탁주성동공장)",탁주 및 약주 제조업,탁주
서현섬유,"서울특별시 성동구 성수일로3길 3-5 (성수동1가, 서현공장)","직물, 편조원단 및 의복류 염색 가공업",부자재 염색
선문사,"서울특별시 성동구 성수이로 144-29, 102호 (성수동2가)",기타 인쇄업 외 1 종,"책자,전단지"
선일금속,"서울특별시 성동구 성수일로11길 8 (성수동1가, 선일빌딩)",귀금속 및 관련제품 제조업,귀금속장신구
선진상사,서울특별시 성동구 성수동2가 269-6번지 서흥공업사 2층,제책업,책자(책자인쇄)
성동산업,서울특별시 성동구 성수이로7길 41-14 (성수동2가),일반철물 제조업,문손잡이
성문인쇄사,"서울특별시 성동구 성수이로 87 (성수동2가, 성문빌딩) (총 2 필지) 외 1필지",경 인쇄업 외 1 종,"전단지,학습교재,포스터 박스"
성산어패럴,"서울특별시 성동구 왕십리로31길 9-36, 2층 (하왕십리동)",남자용 겉옷 제조업 외 11 종,의류
성수N.C.T @,"서울특별시 성동구 아차산로11가길 39 (성수동2가, 성수정공)",디지털 적층 성형기계 제조업 외 1 종,성형기계
성우정밀,"서울특별시 성동구 아차산로11길 12 (성수동2가, 진일빌딩)",시계 및 시계부품 제조업,시계부품
성은건공,서울특별시 성동구 왕십리로31가길 12 (하왕십리동),"박판, 합판 및 유사 적층판 제조업",화장실 큐빌클 건축자재 생산 시공
성진 코원,서울특별시 성동구 성수이로24길 31 (성수동2가),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,의류 금속 부자재
성진코원,"서울특별시 성동구 성수이로24길 31, 지하2층 (성수동2가)",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,"의류,가방, 구두관련 액세서리 금속제품"
성화사,서울특별시 성동구 성수이로14길 10 (성수동2가),도금업,"볼트,너트"
세이펜,"서울특별시 성동구 성수이로 147, 14층 1407,1408,1409,지하203 (성수동2가)",그 외 기타 전자부품 제조업 외 1 종,세이펜
세인트디보스,"서울특별시 성동구 아차산로11길 30, 5층 503 (성수동2가)",구두류 제조업,숙녀구두
세종실업,"서울특별시 성동구 동일로 85, 1층 (성수동2가)",섬유제품 기타 정리 및 마무리 가공업,의류임가공(washing)
세종씨앤피주식회사,"서울특별시 성동구 아차산로 138 (성수동2가, 대영기업사)",기타 인쇄업 외 1 종,상업인쇄물
세진섬유공업사,"서울특별시 성동구 성수이로7길 41-1 (성수동2가, 세진섬유)",편조원단 제조업,의류 부자재
세진엠티(주),"서울특별시 성동구 동일로 123, 601 (성수동2가, 선빌딩)",그 외 기타 의료용 기기 제조업,표면전극근육자극장치
세진인쇄,서울특별시 성동구 성수2가제1동 323번지,기타 인쇄업 외 1 종,"홍보물,책자,전단지"
세진정밀,서울특별시 성동구 성수일로12길 26 (성수동2가),디지털 적층 성형기계 제조업 외 2 종,"금형, 고무제품"
세진테크,"서울특별시 성동구 뚝섬로1길 31, 지하2층 208호 (성수동1가)",반도체 제조용 기계 제조업,반도체부품
세진통상,"서울특별시 성동구 광나루로 302, B1층(성수동2가, 거화빌딩)","근무복, 작업복 및 유사의복 제조업 외 7 종","근무복, 작업복 및 유사의복"
세화인쇄사,"서울특별시 성동구 성수일로6길 1 (성수동2가, 세화인쇄사)",기타 인쇄업 외 1 종,"스크린,옵셋"
세화인쇄사,"서울특별시 성동구 아차산로 158, 1층 (성수동2가, 세원정밀인쇄(주))",기타 인쇄업 외 1 종,옵셋인쇄물
센서택(주),"서울특별시 성동구 둘레7가길 16, 1층 (성수동1가)","탭, 밸브 및 유사장치 제조업",센서 절수기
셀론텍(주),"서울특별시 성동구 아차산로 144, 4~5층 404~406호, 501~506호(성수동2가, 우영테크노센터) 4~5층 404~406호, 501~506호",완제 의약품 제조업 외 2 종,"콘드론, 오스론, 리젠씰, 카티졸, 카티필"
소안인쇄사,"서울특별시 성동구 성수이로7가길 16 (성수동2가, 드림힐1)",기타 인쇄업 외 1 종,인쇄
솔디자인모형,"서울특별시 성동구 아차산로15길 52, 2층 삼환디지털 벤처타워 206 (성수동2가)",전시용 모형 제조업,모형제작
송도,서울특별시 성동구 성수일로 47 (성수동1가),전구 및 램프 제조업,전구 및 램프
수미디어통신(주),"서울특별시 성동구 상원1길 26, 601~602호 (성수동1가)",유선 통신장비 제조업 외 3 종,방송장비
수성공업(주),"서울특별시 성동구 성수이로22길 57 (성수동2가, 태신빌딩)",일반용 전기 조명장치 제조업 외 1 종,전구(형광등)
스타이코,서울특별시 성동구 성수이로26길 11 (성수동2가),그 외 기타 봉제의복 제조업 외 13 종,"의상,캐릭터 인형"
스토리이노베이션,"서울특별시 성동구 연무장5가길 25, b114호~b115호 (성수동2가)",경 인쇄업 외 2 종,"인쇄물, 광고물"
승화프린팅(주),"서울특별시 성동구 상원12길 36, 3층 (성수동1가)",기타 인쇄업 외 1 종,스티커
시큐어인공지능 주식회사,"서울특별시 성동구 상원12길 30, 9층 910호(성수동1가, 동진아이티타워) 9층 910호","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업 외 1 종",방지용 시설물 상태 진단기
신명엔지니어링(주),"서울특별시 성동구 연무장5가길 7, W610호 (성수동2가)",유선 통신장비 제조업 외 1 종,"출입통제장비, 폐쇄회로TV영상감시장치"
신성미디어테크(주),"서울특별시 성동구 아차산로 49, 서울숲코오롱디지털타워 3차 13층 (성수동1가)","사진기, 영사기 및 관련 장비 제조업  외 2 종",스크린 영사대
신성화학,서울특별시 성동구 둘레7길 4-1 (성수동1가),플라스틱 접착처리 제품 제조업 외 4 종,휴대폰케이스
신아애드,"서울특별시 성동구 아차산로15길 52, 1층 101 (성수동2가, 삼환 디지텔 벤처타워)",그 외 기타 플라스틱 제품 제조업,아크릴 장식장
신우전기,"서울특별시 성동구 왕십리로 58 (성수동1가, (주)로티스코리아콜)",배전반 및 전기 자동제어반 제조업,가로등용감 전보호기
신원중전기(주),"서울특별시 성동구 아차산로13길 48 (성수동2가, 쌍용기계공업(주))",배전반 및 전기 자동제어반 제조업 외 6 종,배전반 및 전기자동제어외4종
신일정밀,"서울특별시 성동구 연무장11길 8, 가동1층 (성수동2가)",주형 및 금형 제조업,사출금형
신일정밀,서울특별시 성동구 광나루로 219 (송정동),볼트 및 너트류 제조업 외 2 종,연마
신진식품,"서울특별시 성동구 성덕정길 63-49 (성수동1가, .)",기타 식품 첨가물 제조업,"인공감미료,핫파우다"
신창사,"서울특별시 성동구 성수이로22길 55 (성수동2가, 신창인쇄빌딩)",경 인쇄업 외 1 종,각종인쇄물
신창에스씨아이(주),"서울특별시 성동구 성수일로12길 27 (성수동2가, (주)창미)",교통 신호장치 제조업 외 1 종,"주차관제,기계식교통제어"
신천식품 주식회사 지점,"서울특별시 성동구 상원길 13, 1층 (성수동1가)",떡류 제조업,떡
신천식품(주),"서울특별시 성동구 아차산로1길 25, 1층~2층 (성수동1가)",떡류 제조업,떡
신형정공,"서울특별시 성동구 연무장13길 3, 1층 (성수동2가)",주형 및 금형 제조업,금형
쎄라,"서울특별시 성동구 연무장17길 14, 202호 (성수동2가)",귀금속 및 관련제품 제조업,악세사리
씨.엠코리아,"서울특별시 성동구 성수이로24길 38, B101호 (성수동2가)","용기 세척, 포장 및 충전기 제조업","진공 포장기,용기 접착기"
씨드로닉스(주),"서울특별시 성동구 광나루로 144, 707호(성수동1가, 더 스페이스 타워) 707호","레이더, 항행용 무선기기 및 측량기구 제조업 외 1 종",접안 모니터링 시스템
씨티I&I(주),"서울특별시 성동구 성수이로7길 27, 서울숲코오롱디지털타워2차 509호 (성수동2가)",방송장비 제조업,RX-TX System Assembly
아륙산업사,서울특별시 성동구 성수이로26길 27-20 (성수동2가),음ㆍ식료품 및 담배 가공기계 제조업,국수기계
아산정밀,"서울특별시 성동구 아차산로11길 27, 윈스타워 B202호 (성수동2가)",분사기 및 소화기 제조업 외 1 종,도장기기
아성메디칼,"서울특별시 성동구 성수이로20길 54 (성수동2가, 동방인쇄공사)",그 외 기타 의료용 기기 제조업,의료기기
아시아 주식회사,"서울특별시 성동구 광나루로 146, 3층 (성수동1가) 외 3필지",기타 조명장치 제조업 외 4 종,조명장치
아신문화사,"서울특별시 성동구 아차산로5길 20-1 (성수동2가, 화인메카트로닉스)",기타 인쇄업 외 1 종,인쇄
아이꼴테크,"서울특별시 성동구 광나루로6길 35, B1층 116 (성수동2가, 성수동 우림 이비즈센터)","고무, 화학섬유 및 플라스틱 성형기 제조업 외 1 종",3D프린터
아이디룩스,"서울특별시 성동구 성수일로4길 39, 1층 (성수동2가)",일반용 전기 조명장치 제조업,조명
아이브스 주식회사,"서울특별시 성동구 광나루로6길 35, 202호, 707호(성수동2가, 성수동 우림 이비즈센터) 202호, 707호",방송장비 제조업 외 6 종,"영상감시장치,소프트웨어, 컴퓨터서버, 카메라"
아이알링크(주),"서울특별시 성동구 성수일로4길 25, 13층 1301~1304,1307~1308 (성수동2가)",유선 통신장비 제조업 외 1 종,녹취용 전화기
아주양말(주),"서울특별시 성동구 성수일로6길 32 (성수동2가, 아주섬유)",스타킹 및 기타 양말 제조업,양말
아타시스템,"서울특별시 성동구 성덕정길 127, 선빌딩 302호 (성수동2가)",기타 주변기기 제조업 외 3 종,모니터분배기외
