회사명,공장대표주소,업종명,생산품
자원섬유,"서울특별시 성동구 왕십리로10길 5-38 (성수동1가, 자원섬유)",편조원단 제조업,원단
재우공업,서울특별시 성동구 성덕정9가길 6 (성수동1가),"산업용 오븐, 노 및 노용 버너 제조업 외 1 종",자동제어기
재재패션(주),"서울특별시 성동구 성수일로4길 25, 901호.902호 (성수동2가) 외 1필지","근무복, 작업복 및 유사의복 제조업 외 15 종",의류
재재페션 제2공장,"서울특별시 성동구 성수일로4길 25, B1층 107 (성수동2가)","근무복, 작업복 및 유사의복 제조업 외 15 종",근무복 작업복
전광수커피랩,"서울특별시 성동구 아차산로17길 57, 10층 1001 (성수동2가, 일신건영휴먼테코)",커피 가공업,커피
정광기전,서울특별시 성동구 연무장길 28-21 (성수동2가),"전기회로 개폐, 보호장치 제조업 외 1 종",전기부품
정광인쇄(주),서울특별시 성동구 성수이로20길 57 (성수동2가),기타 인쇄업 외 2 종,"종이박스,상업인쇄"
정상실업,서울특별시 성동구 연무장13길 3 (성수동2가),자수제품 및 자수용재료 제조업 외 1 종,자수
정우만물산업(주),서울특별시 성동구 왕십리로31길 17 (하왕십리동),편조의복 제조업 외 2 종,"앨범,바이다.안던조끼"
정우실업,"서울특별시 성동구 성수일로1길 13 (성수동1가, 정우빌딩)","전자기 측정, 시험 및 분석기구 제조업","계측기, 시험기기"
정인제책사,"서울특별시 성동구 성수이로20길 42 (성수동2가, 서울탁주성동공장)",제책업,"카다로그,주문책,책제본"
정일엔지니어링@,"서울특별시 성동구 성수이로 126 (성수동2가, 부영상사)",공기 조화장치 제조업,공기조절기
정한실업,서울특별시 성동구 성수이로22길 51 (성수동2가),기타 인쇄업 외 1 종,인쇄물
정현아이앤씨,서울특별시 성동구 성수일로 55 (성수동1가) SK테크노빌딩 6층 608호,기타 가죽제품 제조업,"가죽제품, 악세서리"
제스트,"서울특별시 성동구 성수이로7길 27, 11층 1105 (성수동2가, 서울숲 코오롱 디지털타워2)",남자용 겉옷 제조업 외 1 종,남자의류
제이에스코리아,"서울특별시 성동구 아차산로5길 8, 5층 (성수동2가)",스크린 인쇄업,프린트라벨
제일사진인쇄(주),서울특별시 성동구 연무장5가길 11 (성수동2가),기타 인쇄업 외 1 종,앨범
제일저지(주),"서울특별시 성동구 성수일로4길 25, 6층 604,605,606,607,608 (성수동2가)",면직물 직조업 외 6 종,"숙녀복,골프웨어"
제일주화계산기제작소,"서울특별시 성동구 성수이로18길 49 (성수동2가, 제일주화제작소)",사무용 기계 및 장비 제조업 외 1 종,주화계산기
제일타면,서울특별시 성동구 성수2가제1동 418번지,그 외 기타 분류 안된 섬유제품 제조업,화솜
제일피복공업(주),"서울특별시 성동구 연무장17길 14, 7층 703호 (성수동2가, 대군인더스 타운)",그 외 기타 의복액세서리 제조업,장갑
조령산업,"서울특별시 성동구 성수이로24길 38, 302호 (성수동2가)","용기 세척, 포장 및 충전기 제조업",포장기계
조운기계공업사,서울특별시 성동구 성수일로4가길 10-57 (성수동2가),그 외 기타 의료용 기기 제조업,"약품제조용기계,충전기"
조이픽스,서울특별시 성동구 아차산로5길 34 (성수동2가),그 외 기타 플라스틱 제품 제조업,"완구,전자제품"
조인텍코리아,"서울특별시 성동구 왕십리로10길 6 (성수동1가, 신광케미칼)",그 외 기타 일반목적용 기계 제조업 외 1 종,스프링쿨러
종합인쇄신성,"서울특별시 성동구 연무장5가길 25 (성수동2가, 타임프린팅(주))",기타 인쇄업 외 3 종,"인쇄,구두류"
주)유비티엘이디,"서울특별시 성동구 성수이로3길 18-1, 지하 (성수동2가, 일광학원)",일반용 전기 조명장치 제조업,조명
주식회사 거빈,"서울특별시 성동구 상원6길 11-1, 지층 (성수동1가)",기타 인쇄업 외 1 종,스티커인쇄
주식회사 건축모형명장,"서울특별시 성동구 성수일로4길 10, 2층 (성수동1가, 평화기업사)",전시용 모형 제조업,교시형모형
