순번,회사명,공장대표주소(도로명),업종명,생산품
107,(주)포피플,"서울특별시 중랑구 중랑역로 81, 3층 (중화동)",침구 및 관련제품 제조업 외 16 종,침구 및 의류제품
108,(주)피앤아이,"서울특별시 중랑구 봉화산로 123, 405호 (상봉동) 외 1필지",플라스틱 접착처리 제품 제조업 외 1 종,표면처리제품
109,(주)피에조테크놀리지,"서울특별시 중랑구 봉화산로 123, 501호 (상봉동)",전동기 및 발전기 제조업 외 2 종,"초음파모터,압전액츄에이터"
110,(주)필국제무역,"서울특별시 중랑구 망우로 439, 4층 (망우동)",침구 및 관련제품 제조업 외 2 종,"페브릭,인테리어소품"
111,(주)하나로클린,"서울특별시 중랑구 신내역로 111,(신내동, 신내 SK V1 center) B동 5층 539호",구조용 금속 판제품 및 공작물 제조업 외 4 종,"하수악취차단장치 사출물, 그레이팅 덮개 사출물, 논슬립 알루미늄 베이스, 논슬립 패드, 재활용품 자동회수기 부품"
112,(주)한국환경과학,"서울특별시 중랑구 용마산로116길 6, 203호(망우동, 아름빌딩)",액체 여과기 제조업 외 1 종,"폐수처리장치, 환경설비건설업, 오수 및 수도 처리장, 냄새방지 기기 제조, 그 외 기타 전기장비 제조"
113,(주)한빛파워텍,"서울특별시 중랑구 신내역로3길 40-36, A동동 A-306호(신내동) A동동 A-306호 외 2필지",배전반 및 전기 자동제어반 제조업,"폐쇄형 배전반, 보호배전반, 전동기제어반, 분전반"
114,(주)한산이앤피,"서울특별시 중랑구 신내역로3길 40-36, A동 803호 (신내동) A동 803호",배전반 및 전기 자동제어반 제조업,외부 바이패스 판넬
115,(주)현대방지기,"서울특별시 중랑구 중랑천로 362 (묵동, 유니온카센타)","전기회로 개폐, 보호장치 제조업 외 1 종",안전기
116,(주)화남,"서울특별시 중랑구 봉우재로1길 3, 1층 (면목동, 성경빌딩)","근무복, 작업복 및 유사의복 제조업","근무복,작업복"
117,(주)화산에스티아이,"서울특별시 중랑구 면목로 278, 3층(면목동)",유선 통신장비 제조업 외 2 종,"방송장치, 통신장비"
118,E-라인,"서울특별시 중랑구 봉우재로 228, 지층 (망우동)",셔츠 및 블라우스 제조업 외 10 종,의류
119,GNP어패럴,"서울특별시 중랑구 용마산로 440, 2층 (면목동)",셔츠 및 블라우스 제조업 외 1 종,의류
120,G랜드,"서울특별시 중랑구 면목로38길 17, 지층,1층 (면목동)",셔츠 및 블라우스 제조업 외 4 종,의류
121,S&C파워시스템,"서울특별시 중랑구 동일로 769, 401호(중화동, 성심빌딩)(중화동)",기타 전기 변환장치 제조업,기타 전기변환 장치
122,UI스포츠,"서울특별시 중랑구 사가정로50길 36, 지층 (면목동, 은창빌딩)",남자용 겉옷 제조업 외 9 종,의류
123,㈜ 이노박스,"서울특별시 중랑구 봉우재로 91, 3층 (상봉동)",여자용 겉옷 제조업 외 23 종,의류
124,㈜이노씨에스,"서울특별시 중랑구 신내역로 111,(신내동, 신내 SK V1 center) A동 2층 214호",플라스틱 필름 제조업,PVC 천정재
125,㈜제이원상사,"서울특별시 중랑구 신내역로3길 40-36, (신내동, 신내 데시앙플렉스 지식산업센터) A동동 지상10층층 A-1007호","근무복, 작업복 및 유사의복 제조업 외 16 종","작업복, 자수 제품, 천막, 텐트, 직물 의류, 의류 마무리 작업, 남성용 겉옷, 속옷, 잠옷, 셔츠, 블라우스, 가죽 의복, 유아 의복, 봉제 의복, 의복 액세서리, 침구, 가방, 케이스, 여성 겉옷, 모피 의류, 모자"
126,가나시큐리티시스템(주),"서울특별시 중랑구 망우로 396, 신인빌딩2층 (망우동)",비디오 및 기타 영상기기 제조업 외 3 종,"CCTV,DVR"
127,가래시스템,서울특별시 중랑구 용마산로 707 (신내동),커튼 및 유사제품 제조업,"커튼,브라인드"
128,가방공장,서울특별시 중랑구 중랑천로 4 (면목동),가방 및 기타 보호용 케이스 제조업 외 13 종,가방
129,가빈패션,"서울특별시 중랑구 망우로 266-1, 가동 2층 (상봉동)","근무복, 작업복 및 유사의복 제조업 외 24 종",의류 등
130,가이저엔텍,서울특별시 중랑구 숙선옹주로3길 20-37 (묵동),기타 가정용 전기기기 제조업,전기순간온수기
131,거평무브먼트,서울특별시 중랑구 답십리로81길 101 (면목동),시계 및 시계부품 제조업,"시계부속,시계"
132,건화사,"서울특별시 중랑구 신내역로 111,(신내동, 신내 SK V1 center) B동 4층 427호 외 2필지",모자 제조업,"편직(니트)모자, 스웨터, 가디건"
133,경림섬유,서울특별시 중랑구 동일로151길 52 (묵동),"근무복, 작업복 및 유사의복 제조업 외 2 종",티셔츠
134,경일통상,서울특별시 중랑구 상봉동 121-68번지,셔츠 및 블라우스 제조업 외 1 종,티셔츠
135,고신공업사,서울특별시 중랑구 면목동 718-7번지,일반용 전기 조명장치 제조업,조명기구(투광기)
136,곡산실업,"서울특별시 중랑구 용마산로 198 (면목동, 곡산실업)",자수제품 및 자수용재료 제조업 외 1 종,자수제품
137,금강패션,"서울특별시 중랑구 겸재로3길 58, 지층(면목동, 부동산뱅크)",셔츠 및 블라우스 제조업 외 6 종,"체육복, 태권도용품"
138,금와센서,"서울특별시 중랑구 봉우재로 7, 1층 (면목동)",기기용 자동측정 및 제어장치 제조업,자동제어기기(수위조절기) 등
139,금하패션,"서울특별시 중랑구 겸재로 248, 2층 (면목동, 샘솟는교회)",가죽의복 제조업,가죽의류 및 무스탕제품
140,남광전자(주),"서울특별시 중랑구 봉화산로 123, 501호 (상봉동)",비디오 및 기타 영상기기 제조업 외 2 종,"전자부품,스피커부품"
141,다보어패럴,"서울특별시 중랑구 봉우재로33길 21, 2층 (상봉동)",남자용 겉옷 제조업 외 10 종,의류 등
142,다인스 주식회사,"서울특별시 중랑구 신내역로3길 40-36,(신내동) A동동 지상10층층 A-1016호",방송장비 제조업 외 8 종,지능형 카메라
143,단스플로어,"서울특별시 중랑구 신내역로 111,(신내동, 신내 SK V1 center) A동 B2층 B219호","체조, 육상 및 체력단련용 장비 제조업",체조 장비
144,대광AandB,서울특별시 중랑구 겸재로2길 23 (면목동),단추 및 유사 파스너 제조업,나무단추
145,대양케미칼,"서울특별시 중랑구 동일로138길 5-9, 지층 (중화동)","플라스틱 포대, 봉투 및 유사제품 제조업",비닐팩
