순번,회사명,공장대표주소(도로명),업종명,데이터기준일자
162,키티,서울특별시 종로구 종로36나길 14 (종로5가),남자용 겉옷 제조업 외 1 종,2025-07-09
163,타디노스튜디오,서울특별시 종로구 난계로27길 51 (숭인동) 신설종합시장 가1-6호동 제2층 제1-1호,그 외 기타 봉제의복 제조업 외 7 종,2025-07-09
164,파츠파츠,"서울특별시 종로구 자하문로 238, 2층 (부암동, 쌈지빌딩)",여자용 겉옷 제조업,2025-07-09
165,파츠파츠,"서울특별시 종로구 자하문로38길 7, 3층 (부암동)","근무복, 작업복 및 유사의복 제조업 외 2 종",2025-07-09
166,패턴센타,서울특별시 종로구 종로34길 4 (종로5가),"근무복, 작업복 및 유사의복 제조업 외 2 종",2025-07-09
167,평화당인쇄(주),서울특별시 종로구 우정국로 45 (견지동) 외 10필지,기타 인쇄업 외 1 종,2025-07-09
168,풍산산업,서울특별시 종로구 종로18길 25 (관수동),간판 및 광고물 제조업 외 3 종,2025-07-09
169,프린스상사,"서울특별시 종로구 청계천로 159, 가동 665호 (장사동)",기타 음향기기 제조업 외 3 종,2025-07-09
170,한국생산성본부 정보문화원(주),서울특별시 종로구 통일로16길 5 (무악동),기타 인쇄물 출판업,2025-07-09
171,한국소방공사,"서울특별시 종로구 수표로 90-1, 1층 103호(관수동)",전시용 모형 제조업,2025-07-09
172,한국전기접점공사,서울특별시 종로구 종로22길 19 (장사동),그 외 기타 전자부품 제조업 외 1 종,2025-07-09
173,한성인쇄사,서울특별시 종로구 종로54길 3 (창신동),기타 인쇄업 외 1 종,2025-07-09
174,행복한사람들,"서울특별시 종로구 수표로 90-1, 2층 203호(관수동)","기념품, 관광 민예품 및 장식용품 소매업 외 2 종",2025-07-09
175,헤라지엠제이,"서울특별시 종로구 서순라길 17-21, 대성빌딩 3층 (봉익동)",귀금속 및 관련제품 제조업,2025-07-09
176,현대아이텍,"서울특별시 종로구 청계천로 159, 772호(장사동, 세운상가)",비디오 및 기타 영상기기 제조업 외 3 종,2025-07-09
177,형제문화사,서울특별시 종로구 종로54길 8-5 (창신동),경 인쇄업 외 1 종,2025-07-09
178,호야시스템,"서울특별시 종로구 종로22길 8-2, 1층 1호(장사동)",전기회로 접속장치 제조업 외 2 종,2025-07-09
179,홍익플러스,"서울특별시 종로구 창경궁로 126, 4층 (인의동)",셔츠 및 블라우스 제조업 외 3 종,2025-07-09
180,휘문인쇄(주),서울특별시 종로구 사직로 68 (사직동),경 인쇄업 외 2 종,2025-07-09
181,히타종합상사,"서울특별시 종로구 청계천로 153, 1,2층 (장사동)",그 외 기타 전기장비 제조업,2025-07-09
